Date,Comment_ID,Parent_ID,Content,Status,Reaction_Count,Reply_Count,Permalink,Post_URL
2026-06-07 01:53:14,1444898224349187_1645815329829094,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1645815329829094,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:16,1444898224349187_2397964234021011,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2397964234021011,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:19,1444898224349187_1021156557042613,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1021156557042613,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:22,1444898224349187_1065572376649094,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1065572376649094,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:24,1444898224349187_984020121279775,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=984020121279775,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:27,1444898224349187_2180771196109683,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2180771196109683,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:30,1444898224349187_1342431081327311,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1342431081327311,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:33,1444898224349187_1296697089298229,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1296697089298229,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:35,1444898224349187_748819328293230,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=748819328293230,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:38,1444898224349187_1308796377985705,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1308796377985705,https://www.facebook.com/408308732570405/posts/1444898224349187
