Date,Comment_ID,Author_ID,Author_Name,Content,Status,Reaction_Count,Reply_Count,Post_URL
2026-06-07 02:39:53,1444898224349187_1334843712044752,,,Đáp án B - 96 Phan Thị Xuân Trang Dũng Dzui Dzẻ  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 15:58:53,1444898224349187_1392376396057162,,,Đáp án B Số 88 Hoàng Thưởng Hoang Thi Ha Phuong,active,1,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 14:32:14,1444898224349187_27100177636312018,,,Đáp án B  Số may mắn 99 Vân Hiền Yến Ngân  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,202,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:17:20,1444898224349187_2870170483336721,,,Đáp án B - 39 Minh Anh Khánh Hà Vũ Đức An #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,1,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:48:11,1444898224349187_1770143707286734,,,48 đáp án B Ley La Luan Pham Cùi Bấp  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:00:52,1444898224349187_1636598904300600,,,Đáp án B - 99 Bien Nguyen Thủy Mai Do Hường #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,4966,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:04:07,1444898224349187_1577565373936174,,,Đáp án B - 29 Anh Lan Tuấn Minh Huệ Trần #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,1310,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-14 08:31:55,1444898224349187_1531279095395672,,,Đáp án B Số may mắn 12 Phương Oải Cẩm Linh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động uppp,active,0,202,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-14 08:46:01,1444898224349187_1520070306333868,,,Đáp án B Số may mắn 24 Kiều Linh Giao Hạ ... #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,102,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:35:37,1444898224349187_1517365306452337,,,37 đáp án B Thai Hung Chử Vân Khánh Anh Tuan  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 05:44:10,1444898224349187_1505763684619937,,,Đáp án B SMM : 44  Hong AnhTrà Nguyễn HươngNgân NT #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 11:20:35,1444898224349187_1474537170610315,,,Đáp án B - 39 Thị Hường Ba Bé Gấu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:18:36,1444898224349187_1357021752995335,,,Đáp án B - 41 Bao An Văn Minh Văn Minh Hiêp Nguyên Hưu #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:59:17,1444898224349187_1331707685756910,,,55 đáp án B Lê Nghia Chử Vân Khánh Carlos Espinoza  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-11 07:36:19,1444898224349187_1278646670954177,,,Đáp án đúng: B - số may mắn: 12 Vu Hieu Tì Nhok #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,2259,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-12 09:48:13,1444898224349187_1103514305877644,,,Đáp án đúng: B - 31 Thuy Nguyet Dang Nam Bui #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,1559,https://www.facebook.com/408308732570405/posts/1444898224349187
