id,message,created_time,like_count,comment_count
1444898224349187_2079278686351025,Đáp án B - 31 Vy Vui Vẻ Xuân Quỳnh Vũ  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:43:06+0000,0,0
1444898224349187_2067854077449582,83 đáp án B Thị Tô My Pham Đạt Báo #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-08T15:20:36+0000,0,0
1444898224349187_2062420311030553,74 đáp án B Tran Tuan Lai Tho Nguyen Trần Hữu Thiện #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:07:15+0000,0,0
1444898224349187_2034037150654074,Đáp án B - 34 Minh Van Tran Phạm Minh Chín Mốt  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:42:53+0000,0,0
1444898224349187_1976222073099188,Đáp án B - 09 Bình An Nhẹ Nhàng Quách Kim Ngọc  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T06:56:59+0000,0,0
1444898224349187_1769089500729924,Đáp án B - 39 Ng Duân Candy Truc Thanh Tran  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:42:40+0000,0,0
1444898224349187_1757043185412768,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:59:26+0000,0,0
1444898224349187_1736694104132239,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:49:26+0000,0,0
1444898224349187_1722024962173503,Đáp án B - 47 Quách Kim Ngọc Thị Hường  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:12:40+0000,0,0
1444898224349187_1705116203843229,Đáp án B - 07 Jenny Hương Nhi Nhí Nhảnh  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T06:57:27+0000,0,0
1444898224349187_1672350577375843,26 đáp án B Hoàng Huệ Nguễn Dũng Nguyễn Thị Huệ #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-08T15:39:18+0000,0,0
1444898224349187_1668825630824189,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:53:13+0000,0,0
1444898224349187_1632366791159052,#Prudential,2026-06-14T14:30:36+0000,0,0
1444898224349187_1540115467529423,Đáp án B Số may mắn: 36 Rin Art Dương Hoàng Yến  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-11T07:31:15+0000,0,1920
1444898224349187_1529597738869748,Hông Hông .#Prudential,2026-06-15T11:40:04+0000,0,0
1444898224349187_1477953863595521,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:51:54+0000,0,0
1444898224349187_1477254444199808,Đáp án: B Số may mắn: 72 Triệu Võ Hoàng Bình #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-11T07:33:37+0000,1,2014
1444898224349187_1426926782813297,Thanh Huyền Thành Mai Anh #Prudential nên đầu tư bảo hiểm,2026-06-15T16:50:36+0000,0,0
1444898224349187_1400905301949247,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:43:33+0000,0,0
1444898224349187_1390737792866407,Đáp án B - 04 Truc Thanh Tran Trúc Trần  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-08T04:43:26+0000,0,0
1444898224349187_1379110600783612,Đáp án B - 73 Huỳnh Thư Mạnh Chung Tuan Tuấn Anh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T04:08:14+0000,0,215
1444898224349187_1338480051586204,Đáp án B - 32 Cô Hai Lê Ba Bé Gấu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T11:21:01+0000,0,0
1444898224349187_1319834496880508,Đáp án B - 07 Ba Bé Gấu Cô Hai Lê  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-08T04:43:39+0000,0,0
1444898224349187_1222954106472548,Đáp án đúng: B - 12 Thuy Nguyet Dang Nam Bui #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-09T09:38:49+0000,0,2032
1444898224349187_1048551717497715,Đáp án B - 78 Hường Đt Quách Kim Ngọc  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-08T06:27:40+0000,0,0
1444898224349187_1038044845562921,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:17:26+0000,0,0
1444898224349187_1021578100257142,#Prudential,2026-06-11T22:29:43+0000,0,0
1444898224349187_1013607217847799,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T15:13:29+0000,0,0
1444898224349187_1010592814718418,Trần Gia Hân . Hoa Hồng #Prudential,2026-06-15T16:55:24+0000,0,0
1444898224349187_1007775718298861,Thanh Huyền Thành Mai Anh #Prudential nên đầu tư bảo hiểm,2026-06-15T16:34:32+0000,0,0
1444898224349187_993305776990437,Đáp án B - 94 Bình An Nhẹ Nhàng Nhi Nhí Nhảnh  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T07:54:41+0000,0,0
1444898224349187_985423910942985,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T14:27:01+0000,0,0
1444898224349187_854351293931690,Đáp án B - 24 Vy Vui Vẻ Truong Vy  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:12:55+0000,0,0
1444898224349187_834641199430139,Đáp án đúng: B - 27 Nam Bui Bùi Huy #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-09T09:37:34+0000,0,1977
1444898224349187_715248601683142,Trần Gia Hân . Hoa Hồng #Prudential,2026-06-15T16:55:23+0000,0,0
1444898224349187_1545465400302500,Đáp án B SMM : 32 Minh Đức Khánh Bình Dinh Anh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:32:32+0000,0,6319
1444898224349187_1533513198163199,Đáp án B - 17 Vũ Hồng Linh Bình An Nhẹ Nhàng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:12:43+0000,0,0
1444898224349187_1310536057897903,Đáp án B - 11 Cô Hai Lê Hạnh Duyên Phan  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:12:19+0000,0,0
